Date : 2025-03-26 00:03:26
Directory : /home/alberic/Documents/Cours/ramio_project
Total : 299 files,  20707 codes, 1776 comments, 1283 blanks, all 23766 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| /home/alberic/Documents/Cours/ramio_project/html/search/all_11.html                        | HTML       |         21 |          9 |          1 |         31 |
| /home/alberic/Documents/Cours/ramio_project/html/search/all_11.js                          | JavaScript |          1 |          0 |          0 |          1 |
| /home/alberic/Documents/Cours/ramio_project/html/search/all_12.html                        | HTML       |         21 |          9 |          1 |         31 |
| /home/alberic/Documents/Cours/ramio_project/html/search/all_13.html                        | HTML       |         21 |          9 |          1 |         31 |
| /home/alberic/Documents/Cours/ramio_project/html/search/all_14.html                        | HTML       |         21 |          9 |          1 |         31 |
| /home/alberic/Documents/Cours/ramio_project/html/search/all_15.html                        | HTML       |         21 |          9 |          1 |         31 |
| /home/alberic/Documents/Cours/ramio_project/html/search/all_16.html                        | HTML       |         21 |          9 |          1 |         31 |
| /home/alberic/Documents/Cours/ramio_project/html/search/all_16.js                          | JavaScript |         10 |          0 |          0 |         10 |
| /home/alberic/Documents/Cours/ramio_project/html/search/all_2.html                         | HTML       |         21 |          9 |          1 |         31 |
| /home/alberic/Documents/Cours/ramio_project/html/search/all_2.js                           | JavaScript |         16 |          0 |          1 |         17 |
| /home/alberic/Documents/Cours/ramio_project/html/search/all_3.html                         | HTML       |         21 |          9 |          1 |         31 |
| /home/alberic/Documents/Cours/ramio_project/html/search/all_3.js                           | JavaScript |          5 |          0 |          1 |          6 |
| /home/alberic/Documents/Cours/ramio_project/html/search/all_4.html                         | HTML       |         21 |          9 |          1 |         31 |
| /home/alberic/Documents/Cours/ramio_project/html/search/all_4.js                           | JavaScript |         15 |          0 |          1 |         16 |
| /home/alberic/Documents/Cours/ramio_project/html/search/all_5.html                         | HTML       |         21 |          9 |          1 |         31 |
| /home/alberic/Documents/Cours/ramio_project/html/search/all_5.js                           | JavaScript |         11 |          0 |          1 |         12 |
| /home/alberic/Documents/Cours/ramio_project/html/search/all_6.html                         | HTML       |         21 |          9 |          1 |         31 |
| /home/alberic/Documents/Cours/ramio_project/html/search/all_6.js                           | JavaScript |         29 |          0 |          1 |         30 |
| /home/alberic/Documents/Cours/ramio_project/html/search/all_7.html                         | HTML       |         21 |          9 |          1 |         31 |
| /home/alberic/Documents/Cours/ramio_project/html/search/all_7.js                           | JavaScript |          6 |          0 |          1 |          7 |
| /home/alberic/Documents/Cours/ramio_project/html/search/all_8.html                         | HTML       |         21 |          9 |          1 |         31 |
| /home/alberic/Documents/Cours/ramio_project/html/search/all_8.js                           | JavaScript |         16 |          0 |          1 |         17 |
| /home/alberic/Documents/Cours/ramio_project/html/search/all_9.html                         | HTML       |         21 |          9 |          1 |         31 |
| /home/alberic/Documents/Cours/ramio_project/html/search/all_9.js                           | JavaScript |          6 |          0 |          1 |          7 |
| /home/alberic/Documents/Cours/ramio_project/html/search/all_a.html                         | HTML       |         21 |          9 |          1 |         31 |
| /home/alberic/Documents/Cours/ramio_project/html/search/all_a.js                           | JavaScript |         -1 |          0 |          0 |         -1 |
| /home/alberic/Documents/Cours/ramio_project/html/search/all_b.html                         | HTML       |         21 |          9 |          1 |         31 |
| /home/alberic/Documents/Cours/ramio_project/html/search/all_b.js                           | JavaScript |         -1 |          0 |          0 |         -1 |
| /home/alberic/Documents/Cours/ramio_project/html/search/all_c.html                         | HTML       |         21 |          9 |          1 |         31 |
| /home/alberic/Documents/Cours/ramio_project/html/search/all_d.html                         | HTML       |         21 |          9 |          1 |         31 |
| /home/alberic/Documents/Cours/ramio_project/html/search/all_e.html                         | HTML       |         21 |          9 |          1 |         31 |
| /home/alberic/Documents/Cours/ramio_project/html/search/all_f.html                         | HTML       |         21 |          9 |          1 |         31 |
| /home/alberic/Documents/Cours/ramio_project/html/search/all_f.js                           | JavaScript |          1 |          0 |          0 |          1 |
| /home/alberic/Documents/Cours/ramio_project/html/search/classes_0.html                     | HTML       |         21 |          9 |          1 |         31 |
| /home/alberic/Documents/Cours/ramio_project/html/search/classes_1.html                     | HTML       |         21 |          9 |          1 |         31 |
| /home/alberic/Documents/Cours/ramio_project/html/search/classes_2.html                     | HTML       |         21 |          9 |          1 |         31 |
| /home/alberic/Documents/Cours/ramio_project/html/search/classes_3.html                     | HTML       |         21 |          9 |          1 |         31 |
| /home/alberic/Documents/Cours/ramio_project/html/search/classes_3.js                       | JavaScript |          1 |          0 |          0 |          1 |
| /home/alberic/Documents/Cours/ramio_project/html/search/classes_4.html                     | HTML       |         21 |          9 |          1 |         31 |
| /home/alberic/Documents/Cours/ramio_project/html/search/classes_5.html                     | HTML       |         21 |          9 |          1 |         31 |
| /home/alberic/Documents/Cours/ramio_project/html/search/classes_5.js                       | JavaScript |         -1 |          0 |          0 |         -1 |
| /home/alberic/Documents/Cours/ramio_project/html/search/classes_6.html                     | HTML       |         21 |          9 |          1 |         31 |
| /home/alberic/Documents/Cours/ramio_project/html/search/classes_6.js                       | JavaScript |         -2 |          0 |          0 |         -2 |
| /home/alberic/Documents/Cours/ramio_project/html/search/classes_7.html                     | HTML       |         21 |          9 |          1 |         31 |
| /home/alberic/Documents/Cours/ramio_project/html/search/classes_7.js                       | JavaScript |          1 |          0 |          0 |          1 |
| /home/alberic/Documents/Cours/ramio_project/html/search/classes_8.html                     | HTML       |         21 |          9 |          1 |         31 |
| /home/alberic/Documents/Cours/ramio_project/html/search/classes_8.js                       | JavaScript |         -1 |          0 |          0 |         -1 |
| /home/alberic/Documents/Cours/ramio_project/html/search/classes_9.html                     | HTML       |         21 |          9 |          1 |         31 |
| /home/alberic/Documents/Cours/ramio_project/html/search/classes_9.js                       | JavaScript |          1 |          0 |          0 |          1 |
| /home/alberic/Documents/Cours/ramio_project/html/search/classes_a.html                     | HTML       |         21 |          9 |          1 |         31 |
| /home/alberic/Documents/Cours/ramio_project/html/search/classes_a.js                       | JavaScript |          4 |          0 |          1 |          5 |
| /home/alberic/Documents/Cours/ramio_project/html/search/classes_b.html                     | HTML       |         21 |          9 |          1 |         31 |
| /home/alberic/Documents/Cours/ramio_project/html/search/classes_b.js                       | JavaScript |          4 |          0 |          1 |          5 |
| /home/alberic/Documents/Cours/ramio_project/html/search/defines_0.html                     | HTML       |         21 |          9 |          1 |         31 |
| /home/alberic/Documents/Cours/ramio_project/html/search/enums_0.html                       | HTML       |         21 |          9 |          1 |         31 |
| /home/alberic/Documents/Cours/ramio_project/html/search/enums_1.html                       | HTML       |         21 |          9 |          1 |         31 |
| /home/alberic/Documents/Cours/ramio_project/html/search/enums_2.html                       | HTML       |         21 |          9 |          1 |         31 |
| /home/alberic/Documents/Cours/ramio_project/html/search/enums_3.html                       | HTML       |         21 |          9 |          1 |         31 |
| /home/alberic/Documents/Cours/ramio_project/html/search/enumvalues_0.html                  | HTML       |         21 |          9 |          1 |         31 |
| /home/alberic/Documents/Cours/ramio_project/html/search/enumvalues_1.html                  | HTML       |         21 |          9 |          1 |         31 |
| /home/alberic/Documents/Cours/ramio_project/html/search/enumvalues_2.html                  | HTML       |         21 |          9 |          1 |         31 |
| /home/alberic/Documents/Cours/ramio_project/html/search/enumvalues_3.html                  | HTML       |         21 |          9 |          1 |         31 |
| /home/alberic/Documents/Cours/ramio_project/html/search/enumvalues_4.html                  | HTML       |         21 |          9 |          1 |         31 |
| /home/alberic/Documents/Cours/ramio_project/html/search/enumvalues_5.html                  | HTML       |         21 |          9 |          1 |         31 |
| /home/alberic/Documents/Cours/ramio_project/html/search/enumvalues_6.html                  | HTML       |         21 |          9 |          1 |         31 |
| /home/alberic/Documents/Cours/ramio_project/html/search/enumvalues_7.html                  | HTML       |         21 |          9 |          1 |         31 |
| /home/alberic/Documents/Cours/ramio_project/html/search/files_0.html                       | HTML       |         21 |          9 |          1 |         31 |
| /home/alberic/Documents/Cours/ramio_project/html/search/files_1.html                       | HTML       |         21 |          9 |          1 |         31 |
| /home/alberic/Documents/Cours/ramio_project/html/search/files_2.html                       | HTML       |         21 |          9 |          1 |         31 |
| /home/alberic/Documents/Cours/ramio_project/html/search/files_3.html                       | HTML       |         21 |          9 |          1 |         31 |
| /home/alberic/Documents/Cours/ramio_project/html/search/files_4.html                       | HTML       |         21 |          9 |          1 |         31 |
| /home/alberic/Documents/Cours/ramio_project/html/search/files_5.html                       | HTML       |         21 |          9 |          1 |         31 |
| /home/alberic/Documents/Cours/ramio_project/html/search/files_6.html                       | HTML       |         21 |          9 |          1 |         31 |
| /home/alberic/Documents/Cours/ramio_project/html/search/files_7.html                       | HTML       |         21 |          9 |          1 |         31 |
| /home/alberic/Documents/Cours/ramio_project/html/search/functions_0.html                   | HTML       |         21 |          9 |          1 |         31 |
| /home/alberic/Documents/Cours/ramio_project/html/search/functions_1.html                   | HTML       |         21 |          9 |          1 |         31 |
| /home/alberic/Documents/Cours/ramio_project/html/search/functions_10.html                  | HTML       |         21 |          9 |          1 |         31 |
| /home/alberic/Documents/Cours/ramio_project/html/search/functions_11.html                  | HTML       |         21 |          9 |          1 |         31 |
| /home/alberic/Documents/Cours/ramio_project/html/search/functions_12.html                  | HTML       |         21 |          9 |          1 |         31 |
| /home/alberic/Documents/Cours/ramio_project/html/search/functions_12.js                    | JavaScript |         10 |          0 |          0 |         10 |
| /home/alberic/Documents/Cours/ramio_project/html/search/functions_2.html                   | HTML       |         21 |          9 |          1 |         31 |
| /home/alberic/Documents/Cours/ramio_project/html/search/functions_3.html                   | HTML       |         21 |          9 |          1 |         31 |
| /home/alberic/Documents/Cours/ramio_project/html/search/functions_4.html                   | HTML       |         21 |          9 |          1 |         31 |
| /home/alberic/Documents/Cours/ramio_project/html/search/functions_4.js                     | JavaScript |          1 |          0 |          0 |          1 |
| /home/alberic/Documents/Cours/ramio_project/html/search/functions_5.html                   | HTML       |         21 |          9 |          1 |         31 |
