"filename", "language", "C++", "comment", "blank", "total"
"/home/alberic/Documents/Cours/MARIO/ramio_project/include/FinJeu.h", "C++", 3, 0, 0, 3
"/home/alberic/Documents/Cours/MARIO/ramio_project/include/Level.h", "C++", 1, -1, -3, -3
"/home/alberic/Documents/Cours/MARIO/ramio_project/include/Menu.h", "C++", 4, 0, 4, 8
"/home/alberic/Documents/Cours/MARIO/ramio_project/include/Player.h", "C++", 24, -1, 1, 24
"/home/alberic/Documents/Cours/MARIO/ramio_project/src/Entity.cpp", "C++", 5, 0, -1, 4
"/home/alberic/Documents/Cours/MARIO/ramio_project/src/FinJeu.cpp", "C++", 18, 5, 8, 31
"/home/alberic/Documents/Cours/MARIO/ramio_project/src/Level.cpp", "C++", -24, -3, 0, -27
"/home/alberic/Documents/Cours/MARIO/ramio_project/src/Menu.cpp", "C++", 40, 0, 0, 40
"/home/alberic/Documents/Cours/MARIO/ramio_project/src/Player.cpp", "C++", 54, 6, 13, 73
"/home/alberic/Documents/Cours/MARIO/ramio_project/src/main.cpp", "C++", 30, 9, 0, 39
"Total", "-", 155, 15, 22, 192
